Feature,Weight
linktag,2.436668206443764
essay,2.1128990646522903
write,1.3057674787752902
servic,1.2363071275117796
workspac,1.1483267415612295
url,1.1013284136180288
user,1.0827165316650935
coursework,1.0602230973185276
assign,0.93553355794253
cape,0.8557770437030061
info,0.8478440251451773
projrc,0.8304772731214544
buy,0.8025309689040924
unit,0.7976615008919771
builder,0.7845152947151953
thread,0.7806802660047893
uk,0.780218920700087
equilibrium,0.7740188993947832
local,0.7666375745627853
breitl,0.7655975303171617
spray,0.7260938667129997
refin,0.7250525336125027
wheel,0.7150683808297775
comput,0.7105376090567078
cope,0.7037676066536811
typemyessay,0.7037676066536811
errno,0.6762282177928195
laptop,0.6600365359705026
resum,0.6449601303894813
onlin,0.6412228023040871
clarifi,0.6404197713567417
inform,0.6373812872347008
timer,0.6162104693621535
scilap,0.6131820656698478
custom,0.6130798583601261
orolog,0.6005912434631735
qualiti,0.5988287284125402
dropresid,0.59500786279031
dissert,0.5912913963065711
spot,0.5912913963065711
isn,0.5881264819554444
topic,0.5875065395252512
gui,0.5828903556751757
mistak,0.5788600875481413
dynam,0.5734253515019495
make,0.5719171907221989
compliant,0.5705180291353372
dryer,0.5705180291353372
pair,0.5621792370609403
happi,0.5604505562613898
built,0.5547548471405062
busi,0.5543635381203629
knowledg,0.5469013913666884
txt,0.5457060206783136
today,0.5326391801887401
reactor,0.5300910931640598
rcac,0.5257565158158914
allow,0.5206602680367539
convolut,0.5162343261743454
perhap,0.5162343261743454
simplest,0.5162343261743454
unawar,0.5162343261743454
equip,0.5106768631644526
cstr,0.5076705110638218
guillermo,0.5025399357564815
process,0.500730133060142
sheena,0.4994016863044316
group,0.4973475721750908
helper,0.4973475721750908
inconsist,0.4936305303286403
reaction,0.4935269585610359
phase,0.4902575104121794
person,0.4902381744639691
event,0.4773716301401222
way,0.4759706689991874
bianco,0.4711369417336375
oper,0.4694873137226938
concern,0.4647117221568464
search,0.4644768878410653
script,0.4635688570915787
eswecha,0.4618232002573041
develop,0.4586334111081215
associ,0.4521481406713002
handmadewrit,0.4471093444960827
solut,0.4457402243922833
ae,0.4418673948995663
howev,0.4407640676725931
amaz,0.4400898131373982
aachenbomb,0.4316182102151155
aachenbombdieselfoam,0.4316182102151155
care,0.4316182102151155
pitzdailyblockmesh,0.4316182102151155
